GUID	Key	Value	OriginalValue	Info for translators	Do Not Translate	Localization State
5060241057692335571	Command_EIGHTBALL	Ask a fortune from the almighty Eight Ball	Ask a fortune from the almighty Eight Ball		True	None
5794003126398801499	Command_BEAR	Bear	Bear		True	None
3679880020379917545	Command_CLEAR	Clear the command console	Clear the command console		True	None
6523035670610368917	Command_HELP	Display the list of all commands or a description of a specific command or alias	Display the list of all commands or a description of a specific command or alias		True	None
943424724010574498	Command_ALIASES	Display the list of all aliases	Display the list of all aliases		True	None
413186399068216043	Command_SCHEDULE	Runs the cheat continously and displays the result on screen. Interval configurable in the settings	Runs the cheat continously and displays the result on screen. Interval configurable in the settings		True	None
4776122025966869396	Command_RESETALLGENOME	Clear the genome data of all character in saved game	Clear the genome data of all character in saved game		True	None
7635536298275923501	Command_DELETEALLGENOME	Clear the genome data of all character in saved game	Clear the genome data of all character in saved game		True	None
4054665587394127524	Command_LOTTERY	Gives a random amount of money	Gives a random amount of money		True	None
2643572105697051034	Command_PAYDAY	Gives daily salary	Gives daily salary		True	None
7938925594271449374	Command_PRINTMONEY	Gives the specified amount of money	Gives the specified amount of money		True	None
1331990999029534298	Command_SETMONEY	Set the current amount of money to the given value	Set the current amount of money to the given value		True	None
250302772279480633	Command_JACKPOT	Gives $50000	Gives $50000		True	None
6354228765628855382	Command_MAKEITRAIN	Gives $10000	Gives $10000		True	None
7527946856284834315	Command_PIGGYBANK	Gives $1000	Gives $1000		True	None
7671777389485568634	Command_SETSLIDER	Sets the specified slider of the selected character to the specified value	Sets the specified slider of the selected character to the specified value		True	None
7325443395797170630	Command_VSYNC	Display the amount of vsync passes the game is set. Specify a value to set the amount of vsync passes	Display the amount of vsync passes the game is set. Specify a value to set the amount of vsync passes		True	None
1971721718598980641	Command_FULLSCREEN	Sets the fullscreen mode to fullscreen	Sets the fullscreen mode to fullscreen		True	None
1755218133173029724	Command_WINDOWED	Sets the fullscreen mode to windowed	Sets the fullscreen mode to windowed		True	None
3815567910422688622	Command_CAPFPS	Cap the FPS to the given value. If value is 0, uncap FPS	Cap the FPS to the given value. If value is 0, uncap FPS		True	None
6806263051056019198	Command_SETRESOLUTION	Set the screen resolution. Ex	Set the screen resolution. Ex		True	None
4063054623212868341	Command_RESOLUTION	Display the screen resolution	Display the screen resolution		True	None
6343048235679584300	Command_SHADOWDISTANCE	Display current shadow rendering distance	Display current shadow rendering distance		True	None
4983589443756537010	Command_FPS	Display current frame rate per second	Display current frame rate per second		True	None
8297984677035376044	Command_PLAYERSTATES	Display States of player	Display States of player		True	None
1659106385057266868	Command_MAINMENU	Quit to main menu	Quit to main menu		True	None
9007931408694968229	Command_RAGEQUIT	Quit the game	Quit the game		True	None
4016830797895159748	Command_SAVE	Save the current game	Save the current game		True	None
5544693379012128702	Command_TOGGLEGRASS	Toggle the visibility of the 3D grass meshes	Toggle the visibility of the 3D grass meshes		True	None
7214362516575288681	Command_CLEARSUN	Clear forced sun position	Clear forced sun position		True	None
1846292552863481602	Command_SETSUNHOUR	Set forced sun position at given value	Set forced sun position at given value		True	None
1503758494986163791	Command_DUSKSUN	Set sun to dusk (sunset) position	Set sun to dusk (sunset) position		True	None
8604075375289420882	Command_DAWNSUN	Set sun to dawn (sunrise) position	Set sun to dawn (sunrise) position		True	None
3566680704569058145	Command_AFTERNOONSUN	Set sun to afternoon position	Set sun to afternoon position		True	None
7164373498725045938	Command_NOONSUN	Set sun to noon position	Set sun to noon position		True	None
8988443551553878225	Command_MIDNIGHTSUN	Set sun to midnight position	Set sun to midnight position		True	None
6057864064792443910	CommandCategory_General	General	General		True	None
5942632028669116265	CommandCategory_Uncategorized	Uncategorized	Uncategorized		True	None
8834389263145148758	CommandCategory_Animation	Animation	Animation		True	None
2892201788878135659	CommandCategory_Assets	Assets	Assets		True	None
7103246245566520406	CommandCategory_Audio	Audio	Audio		True	None
8784340190309854473	CommandCategory_Character	Character	Character		True	None
5940865961186991790	CommandCategory_Entity	Entity	Entity		True	None
155466834045160472	CommandCategory_Fun	Fun	Fun		True	None
1173429956623840787	CommandCategory_Genetics	Genetics	Genetics		True	None
3107115863065689953	CommandCategory_Interactions	Interactions	Interactions		True	None
3046853131972768697	CommandCategory_Money	Money	Money		True	None
4373455167623980158	CommandCategory_Paramaker	Paramaker	Paramaker		True	None
6500451314221980250	CommandCategory_Performance	Performance	Performance		True	None
7235261664622791594	CommandCategory_Player	Player	Player		True	None
8699264829492169391	CommandCategory_Save	Save	Save		True	None
5139651328936364656	CommandCategory_TerrainAndGrass	Terrain and grass	Terrain and grass		True	None
303149562243991202	CommandCategory_Time	Time	Time		True	None
3122947825761331985	CommandCategory_UI	UI	UI		True	None
6374791029330707837	CommandCategory_Undo	Undo & Redo	Undo & Redo		True	None
342363249782781917	ParameterDescription_HELP0	Command name	Command name		True	None
4177439078360112518	ParameterDescription_SETRESOLUTION0	1920x1080	1920x1080		True	None
6459372224394022439	ParameterDescription_FPS0	An number. 0 to uncap FPS	An number. 0 to uncap FPS		True	None
5151306894637177648	ParameterDescription_SETMONEY0	An amount of money	An amount of money		True	None
2034033004297064247	ParameterDescription_CREATECHARACTER0	A display name or GUID	A display name or GUID		True	None
6767205208383294420	ParameterDescription_SCHEDULE0	The command to repeat	The command to repeat		True	None
6839366034321129271	ParameterDescription_CREATECHARACTERS0	First character. Must be a GUID or display name	First character. Must be a GUID or display name		True	None
6949616868492891213	ParameterDescription_CREATECHARACTERS1	Second character. Must be a GUID or display name	Second character. Must be a GUID or display name		True	None
5779424092701244370	ParameterDescription_CREATECHARACTERS2	Third character. Must be a GUID or display name	Third character. Must be a GUID or display name		True	None
562743566286301102	Command_Undefined	No definition provided	No definition provided		True	None
1448054811336704582	Equipment_MustacheDramatic				True	None
7597871866942575740	Equipment_MustacheBig				True	None
8365778346655367461	Equipment_BeardSmallMustacheSmall				True	None
3053445079937772327	Equipment_MustacheSmall				True	None
3068224503159005751	Equipment_GoateeBig				True	None
8428440721507808286	Equipment_GoateeMedium				True	None
8482239018311173378	Equipment_GoateeSmall				True	None
516205939385348179	Equipment_BeardSmall				True	None
1930309461882147401	Equipment_CoilyHairTest				True	None
5833433420878756930	Equipment_HairStraightShortSidePartedUndercut				True	None
2515243071945041927	Equipment_HairWavyMediumHalfBun				True	None
7609110935017165161	Equipment_OUTDATEDHatStraightTest				True	None
1504444386040413766	Equipment_OUTDATEDHTeethAlternativeTest				True	None
933591241504315827	Equipment_OUTDATEDHTeethAlternativeTest2				True	None
9173592784610771066	Equipment_EyeProtrudingRound				True	None
7296293006177455441	Equipment_EyeDeepSetWrinkled				True	None
3451660885517120256	Equipment_EyeDeepSetUpturned				True	None
2366581365492876957	Equipment_BackpackTest				True	None
8392185099506065444	Equipment_OUTDATEDHTestBackpack				True	None
6809312495461623327	Equipment_WrinkleTest				True	None
8381575625435647747	Equipment_SkinElderAverage				True	None
5755834653523432309	Equipment_CheeksWrinkleMid				True	None
5538763607607500639	Equipment_EyeCornerWrinkle				True	None
2161438036291501312	Equipment_EyeUnderWrinkleMid				True	None
7526491237537087204	Equipment_ForeheadWrinkleMid				True	None
7259964446271875072	Equipment_MouthWrinkle				True	None
7000843683800994233	Equipment_NoseWrinkle				True	None
5121722972254283245	Equipment_BrownSpot				True	None
5787562487098227456	Equipment_CelluliteBottom				True	None
6079570070286419874	Equipment_OldBeardBig2				True	None
3915004761986622211	Equipment_TopSportSet				True	None
3543109456198268852	Equipment_LeggingSportSet				True	None
1094096820501595272	Equipment_BeardShortSmall				True	None
2808034543682566648	Equipment_UvLayoutTest				True	None
3535946569512589807	Equipment_OUTDATEDTestFannyPack				True	None
4251491960827781669	Equipment_EyeshadowUpperDense2				True	None
1156662972837560101	Equipment_EyeshadowLidSparkle				True	None
5354327877028076680	Equipment_EyeshadowUpperDense3				True	None
6379242343727280482	Equipment_EyeshadowLowerBlendSoft				True	None
4787996770824120811	Equipment_EyeshadowUpperMidCat				True	None
3830425899254770037	Equipment_EyeshadowLowerOutterCorner				True	None
2402233819058643509	Equipment_EyeshadowLowerMiddle				True	None
784227770828790836	Equipment_EyeshadowLowerClean				True	None
109950216002592511	Equipment_EyeshadowUpperClean				True	None
1348213377804225500	Equipment_BlushCheeksHeart				True	None
4459533565311116429	Equipment_LipstickBlur				True	None
4861489612163875353	Equipment_OUTDATEDTestEyelinerAlternative				True	None
1743713777982777833	Equipment_BlushCheeksStar				True	None
7347540912977242362	Equipment_LipstickBlurVariation				True	None
7409667090810866839	Equipment_OUTDATEDTestClownMakeup				True	None
3068457061100281270	Equipment_TestTurtleneck				True	None
3602228571059614536	Equipment_TurtleneckCollarBig				True	None
1065338871194790354	Equipment_TshirtRoundCollar				True	None
8968593756564040686	Equipment_ShoesRunning				True	None
8292816806583469077	Equipment_HumanToddlerFullBody				True	None
6239007108167235850	Equipment_ToddlerHairPigTailsShortStraight				True	None
1056037926315603884	Equipment_EyesHighlightSimple				True	None
7078364458046059540	Equipment_ToddlerDiaper				True	None
7189051714065751506	Equipment_ToddlerBearOnesie				True	None
7900431750414017463	Equipment_ToddlerEyebrowsSmall				True	None
8771844275694137739	Equipment_ToddlerEyelashes				True	None
1938001733673727568	Equipment_EyesToddler				True	None
5191130505296753566	Need_HygieneLow	I could use a shower or bath	I could use a shower or bath		True	None
2672539328985859588	Need_HygieneMedium	I need to wash myself	I need to wash myself		True	None
8688428952851797591	Need_HygieneHigh	I REALLY need to wash myself	I REALLY need to wash myself		True	None
1199624784156125457	Need_BathroomFatality	I can't hold it for much longer!	I can't hold it for much longer!		True	None
8241877999105637154	Need_BathroomHigh	I need to go to the bathroom, NOW!	I need to go to the bathroom, NOW!		True	None
3431465210216341036	Need_BathroomMedium	I need to use the bathroom	I need to use the bathroom		True	None
1106288315287111755	Need_BathroomLow	I'll need to use the bathroom soon	I'll need to use the bathroom soon		True	None
5391031946827028734	Need_Hygiene	Hygiene	Hygiene		False	Localized, SentToLocalization
5405110548255358844	Need_Bathroom	Bathroom	Bathroom		False	Localized, SentToLocalization
7634730449007263688	Need_Sleep	Sleep	Sleep		False	Localized, SentToLocalization
1767903095022437880	Need_Hunger	Hunger	Hunger		False	Localized, SentToLocalization
4451756759622793989	Need_HungerFatality	I am dying of hunger	I am dying of hunger		True	None
8376636945752191426	Need_SleepFatality	Good night	Good night		True	None
4073215997035421368	Need_SleepLow	I'm getting tired	I'm getting tired		True	None
5929753065915534999	Need_SleepMedium	I'm tired	I'm tired		True	None
981407109930400150	Need_SleepHigh	I'm extremely tired...	I'm extremely tired...		True	None
3724752833981890999	Need_HungerNone	I'm getting hungry	I'm getting hungry		True	None
3263307937591661071	Need_HungerMedium	I'm hungry	I'm hungry		True	None
7118369460912006192	Need_HungerHigh	I'm STARVING	I'm STARVING		True	None
1268270952219620041	Need_HungerLow	It will be time to eat soon	It will be time to eat soon		True	None
8592384494011878276	UIGameBar_Newspaper	Newspaper	Newspaper		False	Localized, SentToLocalization
5006447496830012804	Article_Flavor_GooglyEyes	“To whoever is placing googly eyes all around town, please stop,” says Mayor Gloomberg.	“To whomever is placing googly eyes all around town, please stop” says Mayor Gloomberg		False	Localized, SentToLocalization
2675420336659096393	Article_Flavor_DoggoSavesDrowning	Doggo Saves Child from Drowning	Doggo saves child from drowning		False	ChangedOnProofreadingImport, Localized, SentToLocalization
1214656527409082165	Article_Flavor_DoggoSavesDrowning2	Stella Saves Child from Drowning a Second Time!	Stella saves child from drowning for a second time!	Flavor, no gameplay effect. Stella is a dog (she). Child's gender is undefined.	False	ChangedOnProofreadingImport, Localized, SentToLocalization
469279363004948663	Article_Flavor_DoggoSavesDrowning3	Yet Again, Stella Saves the Very Same Child from Drowning...	Again, Stella saves the very same child from drowning...	Flavor, no gameplay effect. Stella is a dog (she). Child's gender is undefined.	False	ChangedOnProofreadingImport, Localized, SentToLocalization
8388543490361679476	Article_Flavor_DoggoSavesDrowning4	Stella Awarded Medal for Saving Same Child from Drowning Four Times, Child Banned from Pool for Life	Stella awarded medal for saving same children from drowning 4 times. Child banned from pool for life.	Flavor, no gameplay effect. Stella is a dog (she). Child's gender is undefined.	False	ChangedOnProofreadingImport, Localized, SentToLocalization
365382116984959241	Article_Flavor_RobertoTimeCapsule	Citizen Roberto Robert Discovers Time Capsule with Mysterious Pictures and Maps	Citizen Roberto Robert discovers time capsule with mysterious pictures and map		False	ChangedOnProofreadingImport, Localized, SentToLocalization
5266724482410925247	Article_Flavor_SecondPassedAway	Elder Citizen Kathy Lemoyne Passes Away for the Second Time	Elder citizen Kathy Lemoyne passes away for the second time		False	ChangedOnProofreadingImport, Localized, SentToLocalization
2973572848978884810	Article_Flavor_WillYourMarryMe	WILL YOU MARRY ME, YOAN?\n(Paid Ad)	WILL YOU MARRY ME, YOAN?\n(paid ad)	Flavor, no gameplay effect. Yoan is male. Author is female.	False	Localized, SentToLocalization
6792537476502421069	Article_Flavor_StayHydrated	Mayor Gloomberg Reminds Citizens to Stay Hydrated	Mayor Gloomberg reminds citizens to stay hydrated	Mayor is male.	False	Localized, SentToLocalization
384526835089245203	Article_Flavor_StopCallingEmergency	“Stop calling emergency services every time someone feeds chocolate buns to Stella,” urges Mayor Gloomberg.	Stop calling emergency services every time someone feeds chocolate buns to Stella asks Mayor Gloomberg	Mayor is male. Stella is a dog (she).	False	ChangedOnProofreadingImport, Localized, SentToLocalization
5135431425778382034	Article_Flavor_RobertoLockedOut	Citizen Roberto Robert Locks Himself Out of His House in Underwear While Taking Out the Trash	Roberto Robert locks himself out of his house in underwear while taking out the trash		False	ChangedOnProofreadingImport, Localized, SentToLocalization
689846952668095098	Article_Flavor_RobertoSleepwalks	Citizen Roberto Robert Seen Sleepwalking Around Town, Again	Roberto Robert seen sleepwalking around town, again		False	ChangedOnProofreadingImport, Localized, SentToLocalization
658417755397008164	Article_Job_GetAJob	Get a Job (Not a Good One, but It's Still a Job)	Get a job (not a good one but still a job)		False	ChangedOnProofreadingImport, Localized, SentToLocalization
2206697901430956389	Article_Lessons_Piano	Increase Your Piano Skills Faster\n(Paid Ad)	Increase your Piano skills faster\n(paid ad)		False	ChangedOnProofreadingImport, Localized, SentToLocalization
2936333061942960200	Article_Gift_MoneyCoupon	Free $100 coupon. First come, first served.	Free 100$ coupon. First come, first served.	You can click on this newspaper article to claim $100	False	ChangedOnProofreadingImport, Localized, SentToLocalization
1302018002424150810	Letter_Postcard_WelcomeToParalives	Welcome to Paralives!\n\nThis life is yours to explore and build. Have fun!\n\n- The Paralives development team	Welcome to Paralives!\n\nThis life is yours to explore and build. Have fun!\n\n- The Paralives development team	 This is the body of a letter players get a short while after they start a new game, welcoming them to paralives	False	Localized
8939478119001494596	Letter_Bill	This is your bank statement for the last {0}.	This is your bill for the last {0}.		False	Localized, SentToLocalization
1894708073743014661	UIMailbox_BillTotal	Total: {0}	Total {0}		False	Localized, SentToLocalization
1450811555473744861	UIMailbox_BillPay	Settle	Pay		False	Localized, SentToLocalization
7008508970320035022	UIMailbox_BillElementCost	Amount: {0}	Amount {0}		False	Localized, SentToLocalization
7684886471727497984	UIMailbox_BillElementConsumption	Consumption: {0}	Consumption {0}		False	Localized, SentToLocalization
732535142950137140	BillableElement_Electricity	Electricity	Electricity		False	Localized, SentToLocalization
4033992311806602364	BillLine_PercentageOfEvaluationOverScore	{1}% of {2}	{1}% of {2}		False	Localized, SentToLocalization
7776099773992451969	BillLine_UsageConsumed	Consumed {0} {1}\n({2} per {3})	Consumed {0}{1}\n({2} per {3})		False	Localized, SentToLocalization
3143461072813019046	BillLine_UsageProduced	Produced {0} {1}\n({2} per {3})	Produced  {0}{1}\n({2} per {3})		False	Localized, SentToLocalization
2293264286159192480	BillLine_UsageConsumedProduced	Consumed {0} {1} and Produced {2} {3}\n({4} per {5})	Consumed {0}{1} and Produced {2}{3}\n({4} per {5})		False	Localized, SentToLocalization
1362200792753722038	BillLine_EvaluationOverScoreIntTimesScore	{3} x {0}	{3} x {0}		True	None
8539424843779396586	UIGameBar_EditRelationships	Edit Relationships	Edit relationships		False	Localized, SentToLocalization
3967030139146640574	UISocial_SeeFamilyTree	Show Family Tree	See family tree		False	Localized, SentToLocalization
6314651337140804764	BillableElement_MunicipalTaxes	Municipal Taxes	Municipal Taxes		False	Localized, SentToLocalization
7749895500934103857	BillableElement_ChildAllowance	Family Benefit	Child Allowance		False	Localized, SentToLocalization
8514113486000042798	BillableElement_UnemploymentBenefits	Unemployment Benefits	Unemployment Benefits		False	Localized, SentToLocalization
687788969865200906	InteractionQuality_Good	Good interaction	Good interaction		False	Localized, SentToLocalization
5828287585491256848	InteractionQuality_Awkward	Awkward interaction	Awkward interaction		False	Localized, SentToLocalization
4212500433678246384	Letter_Letter_JustBecameFriends	Hi, {0}! \n I am so glad we're friends! \n Love, {1}	Hi, {0}! \n I am so glad we're friends! \n Love, {1}		True	None
6128274904416771130	Letter_Letter_JustMet	Hi, {0}! \n I'm so glad we met! \n Hope we'll see each other soon, \n {1}	Hi, {0}! \n I'm so glad we met! \n Hope we'll see each other soon, \n {1}		True	None
3349403996417248833	Letter_Letter_LongTimeNoSee	Hey {0}, what's up? \n It's been a long time. Hit me up! \n Miss u, {1}	Hey {0}, what's up? \n It's been a long time. Hit me up! \n Miss u, {1}		True	None
4177544434208085982	Letter_Letter_SecretCrush	Roses are red, \n Violets are blue, \n {0}, I'm in love with you	Roses are red, \n Violets are blue, \n {0}, I'm in love with you		True	None
4094831544949539964	Letter_Letter_JustBecameBestFriendsForever	{0} + {1} = 4ever	{0} + {1} = 4ever		True	None
6663724184988713440	Letter_Title_FromTo	To {0} \nFrom {1}	To {0} \nFrom {1}		True	None
5567499489177141039	Letter_Title_To	To {0}	To {0}		True	None
7671084699368436382	Letter_Title_Gift	A gift for {0}!	A gift for {0}!		True	None
8241304675366947995	Letter_Title_Welcome	Welcome!	Welcome!	 This is the title of a letter players get a short while after they start a new game, welcoming them to paralives	False	Localized
3456131793502445019	Letter_Letter_JustBecameGuitarBuddy	I'm so glad I found someone to play guitar with! \nKeep on rockin' {0}\n - {1}	I'm so glad I found someone to play guitar with! \nKeep on rockin' {0}\n - {1}		True	None
5758164258370033864	Letter_Letter_JustBecamePianoBuddy	Hope we'll play piano together sometime! \n Keep practising your arpeggios, {0} - Pianistically yours, {1}	Hope we'll play piano together sometime! \n Keep practising your arpeggios, {0} - Pianistically yours, {1}		True	None
6239302413423786122	Letter_Letter_JustBecameDanceBuddy	Hey {0}! \nHope you'll want to dance with me some more in the future! \nYours groovy, {1}	Hey {0}! \nHope you'll want to dance with me some more in the future! \nYours groovy, {1}		True	None
2615541627434295286	Letter_Letter_JustBecameExercisingBuddy	You're the real MVP, {0}! \nGlad I could flex those muscles with you.\n See you at the gym! {1}	You're the real MVP, {0}! \nGlad I could flex those muscles with you.\n See you at the gym! {1}		True	None
9020404315505605991	Letter_Letter_JustBecameProgrammingBuddy	Hello World, I mean {0},\n't was great crushing these bugs together.\nSee you soon! {1}	Hello World, I mean {0},\n't was great crushing these bugs together.\nSee you soon! {1}		True	None
1495213240875322712	Letter_Letter_JustBecameGraphicDesignBuddy	Didn't know you were an artist, {0}!\nGraphic design is our common passion, I see.\nSee you soon| - {1}	Didn't know you were an artist, {0}!\nGraphic design is our common passion, I see.\nSee you soon| - {1}		True	None
5169622286482562931	BillableElement_Water	Water	Water		False	Localized, SentToLocalization
610757504692683967	Notification_SkillLevelUp	{0} skill level up!	{0} skill level up!		False	ChangedOnProofreadingImport, Localized, SentToLocalization
8520913593492968382	NotificationSubtitle_SkillLevelUp	{1} is now level {2}	{1} is now level {2}		False	Localized, SentToLocalization
8258920553299282982	Notification_WantCompleted	{0} fulfilled a want: {1}	{0} fulfilled a want {1}		False	Localized, SentToLocalization
7604780830002723444	Notification_CharacterLeaves_Work	{0} is off to work.	{0} is off to work.		False	Localized, SentToLocalization
3348374931506461602	Notification_CharacterLeaves_Tired	{0} has gotten too tired and is leaving.	{0} was too tired and left.		False	ChangedOnProofreadingImport, Localized, SentToLocalization
1621097921110988134	Notification_GaveBirth	{0} gave birth!	{0} gave birth!		False	Localized, SentToLocalization
1602741911751671959	NotificationSubtitle_GaveBirth	Congratulations!	Congratulations!		False	Localized, SentToLocalization
8071587992320452760	UINeeds_RelievingTooltip	This need is being relieved.	This need is being relieved		False	Localized, SentToLocalization
8408755530419485681	Notification_CharacterLeaves_School	{0} is off to school.	{0} is off to school.		False	Localized, SentToLocalization
5237905595859911800	OccupationName_Preschooler	[|Preschooler|Preschooler|Preschooler|]	[|Preschooler|Preschooler|Preschooler|]		False	Localized, SentToLocalization
6409433851520484741	OccupationName_ElementarySchool_Student	[|Student|Student|Student|]	[|Student|Student|Student|]		False	Localized, SentToLocalization
1656204645153092909	OccupationName_MiddleSchooler	[|Middle Schooler|Middle Schooler|Middle Schooler|]	[|Middle Schooler|Middle Schooler|Middle Schooler|]		False	Localized, SentToLocalization
1097988771214166518	OccupationName_Paralives_GameDesigner	[|Game Designer|Game Designer|Game Designer|]	[|Game Designer|Game Designer|Game Designer|]		False	Localized, SentToLocalization
4523619723874040342	OccupationName_UniversityStudent	[|Student|Student|Student|]	[|Student|Student|Student|]		False	Localized, SentToLocalization
6104124362670894970	OccupationName_HighSchool_Student	[|Student|Student|Student|]	[|Student|Student|Student|]		False	Localized, SentToLocalization
6686312582865206152	Notification_CharacterEnrolled_InSchool	{0} has been enrolled in {1}! School starts next {2}	{0} has been enrolled in {1}! It starts next {2}		False	Localized
8219072096877714378	Notification_CharacterEnrolled_InJob	{0} got the job, congratulations!	{0} got the job, congratulations!		False	Localized, SentToLocalization
6211555062529728937	NotificationSubtitle_CharacterEnrolled_InJob	Work starts next {1}	It starts next {1}.		False	MissingTranslation
4212312994310441613	Notification_CharacterGoes_HomeFromSchool	{0} is back home!	{0} is back home!		False	Localized, SentToLocalization
8755258431559354993	Notification_RelationshipLabel_Unlocked	{1} gained the {2} label with {0}.	{0} and {1} gained the new label {2}		False	ChangedOnProofreadingImport, Localized, SentToLocalization
